updateDate,code,code_name
2024-03-18,sh.600028,中国石化
2024-03-18,sh.600030,中信证券
2024-03-18,sh.600031,三一重工
2024-03-18,sh.600036,招商银行
2024-03-18,sh.600048,保利发展
2024-03-18,sh.600050,中国联通
2024-03-18,sh.600089,特变电工
2024-03-18,sh.600104,上汽集团
2024-03-18,sh.600111,北方稀土
2024-03-18,sh.600150,中国船舶
2024-03-18,sh.600276,恒瑞医药
2024-03-18,sh.600309,万华化学
2024-03-18,sh.600406,国电南瑞
2024-03-18,sh.600436,片仔癀
2024-03-18,sh.600438,通威股份
2024-03-18,sh.600519,贵州茅台
2024-03-18,sh.600690,海尔智家
2024-03-18,sh.600809,山西汾酒
2024-03-18,sh.600887,伊利股份
2024-03-18,sh.600893,航发动力
2024-03-18,sh.600900,长江电力
2024-03-18,sh.600905,三峡能源
2024-03-18,sh.601012,隆基绿能
2024-03-18,sh.601088,中国神华
2024-03-18,sh.601166,兴业银行
2024-03-18,sh.601225,陕西煤业
2024-03-18,sh.601288,农业银行
2024-03-18,sh.601318,中国平安
2024-03-18,sh.601390,中国中铁
2024-03-18,sh.601398,工商银行
2024-03-18,sh.601601,中国太保
2024-03-18,sh.601628,中国人寿
2024-03-18,sh.601633,长城汽车
2024-03-18,sh.601668,中国建筑
2024-03-18,sh.601669,中国电建
2024-03-18,sh.601728,中国电信
2024-03-18,sh.601857,中国石油
2024-03-18,sh.601888,中国中免
2024-03-18,sh.601899,紫金矿业
2024-03-18,sh.601919,中远海控
2024-03-18,sh.601988,中国银行
2024-03-18,sh.603259,药明康德
2024-03-18,sh.603288,海天味业
2024-03-18,sh.603501,韦尔股份
2024-03-18,sh.603799,华友钴业
2024-03-18,sh.603986,兆易创新
2024-03-18,sh.688041,海光信息
2024-03-18,sh.688111,金山办公
2024-03-18,sh.688599,天合光能
2024-03-18,sh.688981,中芯国际
